corp_code,stock_code,corp_name
00162319,00000 ,한양상사
00355511,00000 ,"Photronics,Inc."
00400176,00000 ,무빙넷
00396402,00000 ,슈마커코리아
00439938,00000 ,유케이
00337977,00000 ,캐피탈리서치앤매니지먼트컴퍼니
00436047,00000 ,월드타운
00387097,00000 ,센텀파크유동화전문유한회사
00274410,00000 ,인트빔
00328100,00000 ,나래소프트시스템
00243845,00000 ,삼광고하켐
00336260,00000 ,OAKMARKINTERNATIONALFUND
00262026,00000 ,신중앙99-1유동화전문유한회사
00264431,00000 ,크레디피아유동화전문
00264495,00000 ,중소기업유동화전문유한회사
00267067,00000 ,산은캐피탈제일호유동화전문유한회사
00290791,00000 ,국민제이차유동화전문회사
00297837,00000 ,국민제일차유동화전문유한회사
00429162,00000 ,남양씨앤씨
00203643,00000 ,유일냉장
00450108,00000 ,평산공영
00171414,00000 ,파산자한국산업증권
00200549,00000 ,대홍방직
00114543,00000 ,도투락
00197607,00000 ,해덕기업
00258263,00000 ,이수금속
00363617,00000 ,세미코리아
00450287,00000 ,정방종합건설
00413082,00000 ,성우종합건설
00449537,00000 ,신아토건
00163071,00000 ,한일염공
00453239,00000 ,코스모건설
00414267,00000 ,한국방송출판
00349088,00000 ,태성개발
00451514,00000 ,월성주택건설
00386830,00000 ,심도산업
00410128,00000 ,코리아라이닝
00161198,00000 ,한라종합건설
00126849,00000 ,삼안공영
00437824,00000 ,제석주택
00363176,00000 ,한국모빌솔루션
00299871,00000 ,연화상사
00340892,00000 ,한강온천
00415725,00000 ,나우아이엔에스
00306205,00000 ,디아이씨
00371351,00000 ,비앤에스아이엔씨
00369851,00000 ,창원건설
00415840,00000 ,알루테크
00246666,00000 ,대상하이디어
00153296,00000 ,태강산업
00161268,00000 ,한륙전자
00210476,00000 ,영신산업
00365581,00000 ,이사이트랩
00183598,00000 ,영신플랜트
00417088,00000 ,정연산업
00415062,00000 ,아코텔레콤
00172529,00000 ,대영
00407337,00000 ,프라임플러스캐피탈
00405092,00000 ,에스티지시큐리티
00226060,00000 ,보성설비
00206349,00000 ,록정개발
00217035,00000 ,신아스포츠
00224318,00000 ,뉴라인여신금융
00424945,00000 ,중소기업제삼차유동화전문유한회사
00428604,00000 ,알비에이
00424565,00000 ,체리스톤코리아
00226574,00000 ,세모화학
00425157,00000 ,리딩씨앤씨
00427340,00000 ,폴리코
00427429,00000 ,산은굿밸류제일차유동화전문유한회사
00420453,00000 ,이프리즘
00403696,00000 ,디미디어
00417592,00000 ,유피텍
00365998,00000 ,티브이가이드
00412913,00000 ,스타코리아웹케스팅
00421355,00000 ,아라정보기술
00426439,00000 ,코리아컨텐츠네트워크
00427386,00000 ,티티월드
00167129,00000 ,흥산건설
00217707,00000 ,연덕건설
00426518,00000 ,비추미코리아제일차유동화전문유한회사
00426536,00000 ,크레디피아제삼십오차유동화전문유한회사
00426545,00000 ,아하론제삼차유동화전문유한회사
00335951,00000 ,동원제일차유동화전문
00436588,00000 ,케이투이
00435349,00000 ,지영상사
00331450,00000 ,아주의대벤처메딕스
00341952,00000 ,엑스퍼트유동화전문유한회사
00342739,00000 ,마이에셋유동화전문유한회사
00342988,00000 ,한아름제2차유동화전문유한회사
00436241,00000 ,에셋외환카드제이차유동화전문유한회사
00436269,00000 ,에셋외환카드제육차유동화전문유한회사
00436296,00000 ,타이거유동화전문유한회사
00237491,00000 ,서한전자
00118099,00000 ,동원직물
00436685,00000 ,청유
00437107,00000 ,서울전산
00436490,00000 ,씨에스
00436524,00000 ,선암건설
00435923,00000 ,아세텔레콤
00437541,00000 ,우리엘비제칠차유동화전문유한회사
00437569,00000 ,지오택드레인
00336385,00000 ,몬덱스코리아
00198253,00000 ,서광티앤씨
00354062,00000 ,로직스컴퓨터
00311818,00000 ,RedTulipInvestments
00452267,00000 ,아이산업개발
00446141,00000 ,비코레트
00451365,00000 ,우림엔지니어링건축사사무소
00263627,00000 ,백현건설
00413912,00000 ,우연종합건설
00362618,00000 ,용성조선
00202404,00000 ,송원자동차조명
00450773,00000 ,태산종합건설
00252852,00000 ,근도물산
00451879,00000 ,씨에스피산업
00181217,00000 ,삼흥판지
00375728,00000 ,인터내셔날쥬피텍
00445823,00000 ,대륙종합건설
00387167,00000 ,마시나코아
00256885,00000 ,부천산업
